"Num","Title","Category","File","Exists"
"110","Breakfast Cereals","FOOD PROCESSING","course.html?f=breakfast-cereals-course","MISSING"
"111","Cooking Oil Production","FOOD PROCESSING","course.html?f=cooking-oil-production-course","MISSING"
"112","Sugar Processing","FOOD PROCESSING","course.html?f=sugar-processing-course","MISSING"
"113","Rice Milling","FOOD PROCESSING","course.html?f=rice-milling-course","MISSING"
"114","Flour Milling","FOOD PROCESSING","course.html?f=flour-milling-course","MISSING"
"115","Chocolate &amp; Candy","FOOD PROCESSING","course.html?f=chocolate-amp-candy-course","MISSING"
"116","Ice Cream Production","FOOD PROCESSING","course.html?f=ice-cream-production-course","MISSING"
"117","Yogurt Production","FOOD PROCESSING","course.html?f=yogurt-production-course","MISSING"
"118","Cement &amp; Blocks","CONSTRUCTION","course.html?f=cement-amp-blocks-course","MISSING"
"119","Roofing Sheets","CONSTRUCTION","course.html?f=roofing-sheets-course","MISSING"
"120","Tiles &amp; Ceramics","CONSTRUCTION","course.html?f=tiles-amp-ceramics-course","MISSING"
"121","PVC &amp; Plumbing Pipes","CONSTRUCTION","course.html?f=pvc-amp-plumbing-pipes-course","MISSING"
"122","Steel Fabrication","MANUFACTURING","course.html?f=steel-fabrication-course","MISSING"
"123","Aluminum Windows &amp; Doors","MANUFACTURING","course.html?f=aluminum-windows-amp-doors-course","MISSING"
"124","Glass Processing","MANUFACTURING","course.html?f=glass-processing-course","MISSING"
"125","Furniture Manufacturing","MANUFACTURING","course.html?f=furniture-manufacturing-course","MISSING"
"126","Solar Panel Assembly","ENERGY","course.html?f=solar-panel-assembly-course","MISSING"
"127","Solar Inverters &amp; Batteries","ENERGY","course.html?f=solar-inverters-amp-batteries-course","MISSING"
"128","Briquettes &amp; Pellets","ENERGY","course.html?f=briquettes-amp-pellets-course","MISSING"
"129","Biogas Systems","ENERGY","course.html?f=biogas-systems-course","MISSING"
"130","Auto Parts &amp; Assembly","AUTOMOTIVE","course.html?f=auto-parts-amp-assembly-course","MISSING"
"131","EV Motorbike Assembly","AUTOMOTIVE","course.html?f=ev-motorbike-assembly-course","MISSING"
"132","Electronics Assembly","TECHNOLOGY","course.html?f=electronics-assembly-course","MISSING"
"133","Packaging Materials","PACKAGING","course.html?f=packaging-materials-course","MISSING"
"134","Detergents Manufacturing","CHEMICALS","course.html?f=detergents-manufacturing-course","MISSING"
"135","Pharmaceuticals","CHEMICALS","course.html?f=pharmaceuticals-course","MISSING"
"136","Sanitary Pads","MANUFACTURING","course.html?f=sanitary-pads-course","MISSING"
"137","Tissues &amp; Paper Products","PAPER","course.html?f=tissues-amp-paper-products-course","MISSING"
"138","Fertilizer Blending","AGRICULTURE","course.html?f=fertilizer-blending-course","MISSING"
"139","Pesticides &amp; Agrochemicals","CHEMICALS","course.html?f=pesticides-amp-agrochemicals-course","MISSING"
"140","Maximise 1 Hectare — Vegetables for Profit","AGRICULTURE","course.html?f=maximise-1-hectare-vegetables-course","MISSING"
"141","Barbering &amp; Men's Grooming Business","VOCATIONAL","course.html?f=barbering-grooming-course","MISSING"
"142","Hair Salon and Beauty Business","VOCATIONAL","course.html?f=hair-salon-beauty-course","MISSING"
"143","Social Media Influencer Business","BUSINESS","course.html?f=social-media-influencer-course","MISSING"
"144","DJ and Event Entertainment Business","COTTAGE INDUSTRY","course.html?f=dj-event-entertainment-course","MISSING"
"145","Agricultural Produce Sourcing Business","AGRICULTURE","course.html?f=agricultural-produce-sourcing-course","MISSING"
"146","Sourcing and Reselling Business","BUSINESS","course.html?f=sourcing-reselling-course","MISSING"
"147","Basic First Aid for Business and Community","HEALTH","course.html?f=basic-first-aid-course","MISSING"
"148","Massage and Spa Home Visit Business","HEALTH","course.html?f=massage-spa-home-course","MISSING"
"149","Errands and Personal Assistant Service","BUSINESS","course.html?f=errands-personal-assistant-course","MISSING"
"150","Crisis Response for Underserved Communities","HEALTH","course.html?f=crisis-response-underserved-course","MISSING"
