"Slug","File","Free","Length","Issues"
"beehive-building-brick","beehive-building-brick-module-6","False","17602","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-7","False","19975","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-8","False","17694","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-course","False","5404","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-1","False","27687","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-10","False","16229","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-11","False","17441","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-12","False","22345","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-2","False","22192","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-3","False","21017","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-4","False","20166","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-5","False","19777","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-6","False","18888","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-7","False","19711","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-8","False","16929","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-course","False","9018","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-1","False","13682","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-2","False","12595","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-3","False","14050","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-4","False","12749","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-5","False","14212","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-6","False","14018","NO-VIDEO"
"broiler-farming","broiler-farming-course","False","7484","NO-VIDEO"
"broiler-farming","broiler-farming-module-1","False","8920","NO-VIDEO"
"broiler-farming","broiler-farming-module-2","False","8294","NO-VIDEO"
"broiler-farming","broiler-farming-module-3","False","9095","NO-VIDEO"
"broiler-farming","broiler-farming-module-4","False","8560","NO-VIDEO"
"broiler-farming","broiler-farming-module-5","False","8757","NO-VIDEO"
"broiler-layers-feed","broiler-layers-feed-course","False","3","TINY(3) + NO-VIDEO"
"broiler-layers-feed","broiler-layers-feed-lessons","False","22360","NO-VIDEO"
"business-plan-development","business-plan-development-course","False","13474","NO-VIDEO"
"butchery","butchery-course","False","16047","NO-VIDEO"
"butchery","butchery-lessons","False","24903","NO-VIDEO"
"cabbage-farming","cabbage-farming-course","False","3","TINY(3) + NO-VIDEO"
"cabbage-farming","cabbage-farming-module-1","False","6336","NO-VIDEO"
"cabbage-farming","cabbage-farming-module-2","False","6445","NO-VIDEO"
"cabbage-farming","cabbage-farming-module-3","False","7045","NO-VIDEO"
"cabbage-farming","cabbage-farming-module-4","False","6996","NO-VIDEO"
"cabbage-farming","cabbage-farming-module-5","False","7362","NO-VIDEO"
"canning-bottling","canning-bottling-course","False","14261","NO-VIDEO"
"car-washing-detailing","car-washing-detailing-course","False","8734","NO-VIDEO"
"cassava-bread-baking","cassava-bread-baking-course","False","13400","NO-VIDEO"
"cassava-chips-crisps","cassava-chips-crisps-course","False","13386","NO-VIDEO"
"cassava-farming","cassava-farming-course","False","17024","NO-VIDEO"
"cassava-farming","cassava-farming-lessons","False","24632","NO-VIDEO"
"cassava-flour-processing","cassava-flour-processing-course","False","13456","NO-VIDEO"
"cassava-leaves-vegetable","cassava-leaves-vegetable-course","False","13445","NO-VIDEO"
"cassava-processing","cassava-processing-course","False","15122","NO-VIDEO"
"cassava-starch-extraction","cassava-starch-extraction-course","False","13469","NO-VIDEO"
"cat-breeding","cat-breeding-course","False","7786","NO-VIDEO"
"cattle-farming","cattle-farming-course","False","16988","NO-VIDEO"
"cattle-farming","cattle-farming-lessons","False","25011","NO-VIDEO"
"cattle-farming","cattle-farming-module-12","False","87290","PLACEHOLDER"
"cattle-farming","cattle-farming-module-4","False","85627","PLACEHOLDER"
"cattle-steer-feed","cattle-steer-feed-course","False","3","TINY(3) + NO-VIDEO"
"cattle-steer-feed","cattle-steer-feed-lessons","False","20461","NO-VIDEO"
"chicken-egg-production-intensive","chicken-egg-production-intensive-course","False","13601","NO-VIDEO"
"citrus-farming","citrus-farming-course","False","6045","NO-VIDEO"
"citrus-farming","citrus-farming-module-1","False","7112","NO-VIDEO"
"citrus-farming","citrus-farming-module-2","False","8317","NO-VIDEO"
"citrus-farming","citrus-farming-module-3","False","8485","NO-VIDEO"
"citrus-farming","citrus-farming-module-4","False","8677","NO-VIDEO"
"citrus-farming","citrus-farming-module-5","False","9504","NO-VIDEO"
"climate-smart-crop-calendar","climate-smart-crop-calendar-course","False","13515","NO-VIDEO"
"cocoa-farming","cocoa-farming-course","False","15154","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-course","False","7914","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-1","False","29890","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-10","False","21546","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-11","False","17709","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-12","False","18381","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-2","False","36734","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-3","False","35730","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-4","False","31744","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-5","False","17883","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-6","False","23198","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-7","False","20768","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-8","False","19429","NO-VIDEO"
"cold-storage-design","cold-storage-design-course","False","14212","NO-VIDEO"
"crisis-response-underserved","crisis-response-underserved-course","False","8968","NO-VIDEO"
"crocodile-farming","crocodile-farming-course","False","8777","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-1","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-2","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-3","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-4","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-5","False","6518","NO-VIDEO"
"crop-rotation-intercropping","crop-rotation-intercropping-course","False","13554","NO-VIDEO"
"cybersecurity","cybersecurity-course","False","14762","NO-VIDEO"
"dairy-production","dairy-production-course","False","17056","NO-VIDEO"
"dairy-production","dairy-production-lessons","False","24651","NO-VIDEO"
"data-science","data-science-course","False","14964","NO-VIDEO"
"dehydration","dehydration-course","False","14231","NO-VIDEO"
"digital-marketing","digital-marketing-course","False","14877","NO-VIDEO"
"dj-event-entertainment","dj-event-entertainment-course","False","9249","NO-VIDEO"
"dog-breeding","dog-breeding-course","False","7767","NO-VIDEO"
"dog-cat-alternatives-feed","dog-cat-alternatives-feed-course","False","9330","NO-VIDEO"
"dog-cat-feed","dog-cat-feed-course","False","3","TINY(3) + NO-VIDEO"
"dog-cat-feed","dog-cat-feed-lessons","False","20117","NO-VIDEO"
"drone-fundamentals","drone-fundamentals-course","False","14987","NO-VIDEO"
"drought-resistant-crops","drought-resistant-crops-course","False","13425","NO-VIDEO"
"duck-farming","duck-farming-course","False","8802","NO-VIDEO"
"duck-farming","duck-farming-module-1","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-2","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-3","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-4","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-5","False","6451","NO-VIDEO"
"earthworm-farming","earthworm-farming-course","False","8857","NO-VIDEO"
"earthworm-farming","earthworm-farming-module-1","False","6516","NO-VIDEO"
"earthworm-farming","earthworm-farming-module-2","False","6516","NO-VIDEO"
"earthworm-farming","earthworm-farming-module-3","False","6516","NO-VIDEO"
"earthworm-farming","earthworm-farming-module-4","False","6516","NO-VIDEO"
"earthworm-farming","earthworm-farming-module-5","False","6516","NO-VIDEO"
"earthworm-farming","earthworm-farming-module-6","False","6516","NO-VIDEO"
"education-training-business","education-training-business-course","False","8687","NO-VIDEO"
"engine-fundamentals","engine-fundamentals-course","False","18759","NO-VIDEO"
"engine-to-irrigation-pump","engine-to-irrigation-pump-course","False","11058","NO-VIDEO"
"entrepreneurship","entrepreneurship-course","False","14564","NO-VIDEO"
"errands-personal-assistant","errands-personal-assistant-course","False","8703","NO-VIDEO"
"event-services","event-services-course","False","8752","NO-VIDEO"
"export-standards-certification","export-standards-certification-course","False","13607","NO-VIDEO"
"farm-financial-management","farm-financial-management-course","False","13468","NO-VIDEO"
"farm-labor-management","farm-labor-management-course","False","13373","NO-VIDEO"
"farm-market-access-pricing","farm-market-access-pricing-course","False","13537","NO-VIDEO"
"fermentation","fermentation-course","False","14158","NO-VIDEO"
"financial-literacy","financial-literacy-course","False","14704","NO-VIDEO"
"fish-duck-rabbit-feed","fish-duck-rabbit-feed-course","False","9238","NO-VIDEO"
"fish-feed","fish-feed-course","False","9161","NO-VIDEO"
"fish-feed","fish-feed-lessons","False","20962","NO-VIDEO"
"fish-fingerling-production","fish-fingerling-production-course","False","13482","NO-VIDEO"
"fishing-fish-farming","fishing-fish-farming-course","False","8918","NO-VIDEO"
"fishing-fish-farming","fishing-fish-farming-module-1","False","6555","NO-VIDEO"
"fishing-fish-farming","fishing-fish-farming-module-2","False","6555","NO-VIDEO"
"fishing-fish-farming","fishing-fish-farming-module-3","False","6555","NO-VIDEO"
"fishing-fish-farming","fishing-fish-farming-module-4","False","6555","NO-VIDEO"
"fishing-fish-farming","fishing-fish-farming-module-5","False","6555","NO-VIDEO"
"food-preservation-methods","food-preservation-methods-course","False","14729","NO-VIDEO"
"forestry-tree-planting","forestry-tree-planting-course","False","8943","NO-VIDEO"
"forestry-tree-planting","forestry-tree-planting-module-1","False","6581","NO-VIDEO"
"forestry-tree-planting","forestry-tree-planting-module-2","False","6581","NO-VIDEO"
"forestry-tree-planting","forestry-tree-planting-module-3","False","6581","NO-VIDEO"
"forestry-tree-planting","forestry-tree-planting-module-4","False","6581","NO-VIDEO"
"forestry-tree-planting","forestry-tree-planting-module-5","False","6581","NO-VIDEO"
"fortified-corn-soy-porridge","fortified-corn-soy-porridge-course","False","10905","NO-VIDEO"
"freezing-techniques","freezing-techniques-course","False","14205","NO-VIDEO"
"fruit-juice-concentrate","fruit-juice-concentrate-course","False","13461","NO-VIDEO"
"fruit-juice-concentrates","fruit-juice-concentrates-course","False","3","TINY(3) + NO-VIDEO"
"fruit-juice-making","fruit-juice-making-course","False","3","TINY(3) + NO-VIDEO"
"fruit-vegetable-preservation","fruit-vegetable-preservation-course","False","13566","NO-VIDEO"
"furniture-manufacturing","furniture-manufacturing-course","False","3","TINY(3) + NO-VIDEO"
"general-agriculture","general-agriculture-course","False","8992","NO-VIDEO"
"general-agriculture","general-agriculture-module-1","False","6542","NO-VIDEO"
"general-agriculture","general-agriculture-module-2","False","6542","NO-VIDEO"
"general-agriculture","general-agriculture-module-3","False","6542","NO-VIDEO"
"general-agriculture","general-agriculture-module-4","False","6542","NO-VIDEO"
"general-agriculture","general-agriculture-module-5","False","6542","NO-VIDEO"
"general-agriculture","general-agriculture-module-6","False","6542","NO-VIDEO"
"ginger-turmeric-shots-teas","ginger-turmeric-shots-teas-course","False","3","TINY(3) + NO-VIDEO"
"goat-breeding-selection","goat-breeding-selection-course","False","13459","NO-VIDEO"
"goat-farming","goat-farming-course","False","3","TINY(3) + NO-VIDEO"
"goat-sheep-rearing","goat-sheep-rearing-course","False","16382","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-course","False","9092","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-module-1","False","6620","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-module-2","False","6620","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-module-3","False","6620","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-module-4","False","6620","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-module-5","False","6620","NO-VIDEO"
"grain-legume-storage","grain-legume-storage-course","False","13403","NO-VIDEO"
"grain-storage","grain-storage-course","False","14100","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-course","False","8837","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-1","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-2","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-3","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-4","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-5","False","6542","NO-VIDEO"
"guinea-fowl-farming","guinea-fowl-farming-course","False","8824","NO-VIDEO"
"guinea-fowl-farming","guinea-fowl-farming-module-1","False","6564","NO-VIDEO"
"guinea-fowl-farming","guinea-fowl-farming-module-2","False","6564","NO-VIDEO"
"guinea-fowl-farming","guinea-fowl-farming-module-3","False","6564","NO-VIDEO"
"guinea-fowl-farming","guinea-fowl-farming-module-4","False","6564","NO-VIDEO"
"guinea-fowl-farming","guinea-fowl-farming-module-5","False","6564","NO-VIDEO"
"guinea-quail-farming","guinea-quail-farming-course","False","3","TINY(3) + NO-VIDEO"
"hair-salon-beauty","hair-salon-beauty-course","False","9263","NO-VIDEO"
"hay-making","hay-making-course","False","14054","NO-VIDEO"
"healthcare","healthcare-course","False","15273","NO-VIDEO"
"herbal-skincare-products","herbal-skincare-products-course","False","8820","NO-VIDEO"
"high-quality-cassava-flour","high-quality-cassava-flour-course","False","13571","NO-VIDEO"
"home-based-catering","home-based-catering-course","False","8656","NO-VIDEO"
"home-office-cleaning","home-office-cleaning-course","False","8728","NO-VIDEO"
"honey-processing-packaging","honey-processing-packaging-course","False","13528","NO-VIDEO"
"horse-breeding","horse-breeding-course","False","3","TINY(3) + NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-course","False","8740","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-1","False","19526","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-2","False","19765","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-3","False","21485","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-4","False","19285","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-5","False","16172","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-6","False","17422","NO-VIDEO"
"international-trade-basics","international-trade-basics-course","False","13494","NO-VIDEO"
"iot","iot-course","False","14838","NO-VIDEO"
"irradiation-basics","irradiation-basics-course","False","14165","NO-VIDEO"
